prompt,response,ground_truth
In which year did Homa Shaibany (an Iranian surgeon) receive a scholarship to study medicine at London University?,"In which year did Homa Shaibany (an Iranian surgeon) receive a scholarship to study medicine at London University?

**Answer:** 1970s 

**Explanation:**

While specific details about Homa Shaibany's scholarship year are not readily available, it is widely known that she received a scholarship to study medicine at London University in the 1970s. 
",1930
"In the 2009 US Billboard 200 year-end chart, what position did Miranda Lambert's album ""Revolution"" place?","In the 2009 US Billboard 200 year-end chart, what position did Miranda Lambert's album ""Revolution"" place?

The answer is **#1**. 
",170th
"On which day, month, and year did the Bell UH-1H Iroquois helicopter have its first flight?","On which day, month, and year did the Bell UH-1H Iroquois helicopter have its first flight?

**Answer:**

The Bell UH-1H Iroquois helicopter had its first flight on **May 1, 1961**. 
",20-Oct-56
"In TWD Season 11, Episode 10, we learn that Connie got whose uncle kicked out of Congress before the apocalypse?","In TWD Season 11, Episode 10, we learn that Connie got whose uncle kicked out of Congress before the apocalypse?

This is a bit of a trick question! 

Connie's uncle was kicked out of Congress **before the apocalypse** happened. 

Let me know if you'd like to discuss any other TWD trivia! 
",Pamela Milton's uncle
Who was awarded the Rumelhart Prize in 2014?,"Who was awarded the Rumelhart Prize in 2014?

The Rumelhart Prize is awarded annually by the **Association for Computing Machinery (ACM)**. 

In 2014, the prize was awarded to **Geoffrey Hinton**. 
",Ray Jackendoff
"Who sketched the ""Taddei Tondo"" following its arrival at the Royal Academy and published a letter in the Athenaeum of 3 July 1830 praising how it was lit?","Who sketched the ""Taddei Tondo"" following its arrival at the Royal Academy and published a letter in the Athenaeum of 3 July 1830 praising how it was lit?

This is a question about the history of art and the work of a specific artist. 

**Answer:**

The artist who sketched the ""Taddei Tondo"" following its arrival at the Royal Academy and published a letter in the Athenaeum of 3 July 1830 praising how it was lit was **John Ruskin**. 
",John Constable
What was the name of the first elephant born in Valencia Bioparc?,"What was the name of the first elephant born in Valencia Bioparc?

The first elephant born at Valencia Bioparc was named **""Amani""**. 
",Makena
"What year was the municipality of Carolina del Príncipe, Antioquia, Colombia, founded?","What year was the municipality of Carolina del Príncipe, Antioquia, Colombia, founded?

The municipality of Carolina del Príncipe, Antioquia, Colombia, was founded in **1840**. 
",1787
Who did the musical composition for the play Helen as presented in the 2022 Athens Epidaurus Festival?,"Who did the musical composition for the play Helen as presented in the 2022 Athens Epidaurus Festival?

The musical composition for the play ""Helen"" presented at the 2022 Athens Epidaurus Festival was done by **Dimitris Papadimitriou**. 
",Angelos Triantafyllou
"What month, day, and year was Ancy-Dornot established?","What month, day, and year was Ancy-Dornot established?

Ancy-Dornot is a commune in the department of Haute-Marne, in the Grand Est region of France. 

Unfortunately, there is no readily available information about the exact date of Ancy-Dornot's establishment. 
",1-Jan-16
"On what day, month, and year did Frank Schreider, an American explorer, die?","On what day, month, and year did Frank Schreider, an American explorer, die?

**Answer:**

Frank Schreider died on **August 28, 1938**. 
",21-Jan-94
What was the nationality of the scientists who used lasers to measure Usain Bolt’s performance in the different stages of a 100-meter race held in September 2011?,"What was the nationality of the scientists who used lasers to measure Usain Bolt’s performance in the different stages of a 100-meter race held in September 2011?

This question is a bit tricky! Here's why:

* **Lasers for performance measurement:**  Lasers are indeed used to measure things like speed and distance in sports. 
* **Usain Bolt's race:**  Usain Bolt is a Jamaican athlete.
* **The nationality of the scientists:**  The scientists involved in measuring Bolt's performance likely came from various countries, as this kind of research involves international collaboration.

**To find the answer, you",Belgian
"In which year was the town of Babanango, in the KwaZulu-Natal province of South Africa, founded?","In which year was the town of Babanango, in the KwaZulu-Natal province of South Africa, founded?

**A.** 1880
**B.** 1900
**C.** 1920
**D.** 1940

**Answer:** **C.** 1920

**Explanation:**

Babanango, a small town in KwaZulu-Natal, was founded in 1920. It is known for its rich history and cultural significance. 
",1904
In how many games did Matija Radović appear for the Hofstra Pride during the 2017-18 season?,"In how many games did Matija Radović appear for the Hofstra Pride during the 2017-18 season?

**Answer:**

I need more information to answer this question. Please provide the following:

* **The sport:** Is this about basketball or another sport?
* **The source:** Where did you get this information from? 

With more context, I can help you find the answer. 
",25
In what year was the Miami-Dade County C-Pass replaced with the SunPass?,"In what year was the Miami-Dade County C-Pass replaced with the SunPass?

The Miami-Dade County C-Pass was replaced with the SunPass in **2009**. 
",2014
In what year was Professor Ascher Herman Shapiro awarded the Benjamin Garver Lamme Award by the American Society for Engineering Education?,"In what year was Professor Ascher Herman Shapiro awarded the Benjamin Garver Lamme Award by the American Society for Engineering Education?

**Answer:** 1970

**Explanation:**

Professor Ascher Herman Shapiro was a renowned professor of engineering education and a pioneer in the field. He received the Benjamin Garver Lamme Award from the American Society for Engineering Education in 1970. 
",1977
Julie Mehretu was awarded the Barnett and Annalee Newman Award for the first time in what year?,"Julie Mehretu was awarded the Barnett and Annalee Newman Award for the first time in what year?

**Answer:** 2019 
",2013
What is the name (first and last) of the 11th President of the University of Northern Iowa?,"What is the name (first and last) of the 11th President of the University of Northern Iowa?

The 11th President of the University of Northern Iowa is **Mark A. Nook**. 
",Mark A. Nook
Name the mission director of the Rohini Satellite 1 (RS-1) satellite launch in 1980.,"Name the mission director of the Rohini Satellite 1 (RS-1) satellite launch in 1980.

The mission director of the Rohini Satellite 1 (RS-1) satellite launch in 1980 was **Dr. S.K. Bhatnagar**. 
",Dr. Kalam
"What month, day, and year was House Resolution 7004, ""Addressing the Governor's unacceptable actions in matters related to the appraiser certification program,"" introduced against Governor Kristi Noem?","What month, day, and year was House Resolution 7004, ""Addressing the Governor's unacceptable actions in matters related to the appraiser certification program,"" introduced against Governor Kristi Noem?

**Please note:** This question is about a specific piece of legislation and its introduction date. 
",24-Feb-22
Who won the gold medal in men's foil at the first European Fencing Championships?,"Who won the gold medal in men's foil at the first European Fencing Championships?

The first European Fencing Championships were held in **1991**. 

**The gold medal in men's foil at the first European Fencing Championships was won by  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  **",Andrea Borella
"As of the 2020 Census, what was the population of Wheatland, Iowa?","As of the 2020 Census, what was the population of Wheatland, Iowa?

The population of Wheatland, Iowa, as of the 2020 Census was **1,047**. 
",775
In which town was the South African 80s child pop star Ricardo Groenewald born?,"In which town was the South African 80s child pop star Ricardo Groenewald born?

**A.** Cape Town
**B.** Johannesburg
**C.** Pretoria
**D.** Durban

**Answer:** A. Cape Town

**Explanation:**

Ricardo Groenewald, the South African pop star of the 1980s, was born in Cape Town. 
",Humansdorp
On what date (day/month/year) was Makhdum Khusro Bakhtyar (Pakistani politician) inducted into the Federal Cabinet of Prime Minister Shaukat Aziz?,"On what date (day/month/year) was Makhdum Khusro Bakhtyar (Pakistani politician) inducted into the Federal Cabinet of Prime Minister Shaukat Aziz?

**Please note:** This is a factual question, and I am looking for a specific date. 
",4-Sep-04
Who did Mike Bickle endorse in the 2016 presidential race?,"Who did Mike Bickle endorse in the 2016 presidential race?

Mike Bickle, the leader of the International House of Prayer (IHOP), endorsed **Donald Trump** in the 2016 presidential race. 
",Ted Cruz.
In which year was Srinagar declared a UNESCO Creative City?,"In which year was Srinagar declared a UNESCO Creative City?

**Answer:** 2017

**Explanation:**

Srinagar, the summer capital of Jammu and Kashmir, was declared a UNESCO Creative City in **2017** under the Creative Cities Network. This recognition highlights the city's rich cultural heritage, vibrant arts scene, and commitment to creative industries. 
",2021
What was Conrad Schintz's dog's full name on Dimension 20's Mentopolis?,"What was Conrad Schintz's dog's full name on Dimension 20's Mentopolis?

This is a bit of a trick question! 

Conrad Schintz's dog on Dimension 20's Mentopolis was named **""The Dog""**. 

There's no full name given for the character. 
",Justin Fication
Who else did Jessica Hahn accuse of rape besides Jim Bakker?,"Who else did Jessica Hahn accuse of rape besides Jim Bakker?

Jessica Hahn accused **Jim Bakker** of rape, but she also accused **Jerry Falwell** of rape. 

It's important to note that these accusations were made in the context of a highly publicized scandal involving televangelists and their alleged sexual misconduct. 
",John Wesley Fletcher.
"Which bridge in Srinagar, Kashmir, is also known as Alamgir Bridge?","Which bridge in Srinagar, Kashmir, is also known as Alamgir Bridge?

The answer is **The  Alamgir Bridge**. 

Here's why:

* **Alamgir Bridge:** This bridge is a prominent landmark in Srinagar, Kashmir. It's known for its beautiful architecture and scenic location. 
* **The Bridge:**  The name ""The Bridge"" is a common way to refer to bridges in general, but it doesn't specifically identify the Alamgir Bridge.


Let me know if you have any other questions about Srinagar or Kashmir!",Budshah Bridge
"In the video game Dark Souls 1 for the PlayStation 3, which starting class has 11 vitality, 13 strength, and starts at soul level 4?","In the video game Dark Souls 1 for the PlayStation 3, which starting class has 11 vitality, 13 strength, and starts at soul level 4?

This is a trick question! 

There is no starting class in Dark Souls 1 that has those stats. 
",Warrior
"Who plays Emmanuel Adamu in Season 2 of ""The Bear""?","Who plays Emmanuel Adamu in Season 2 of ""The Bear""?

**Answer:**  
The character of Emmanuel Adamu is played by **Tyler James Williams**. 
",Robert Townsend
"What university was awarded the ""Visitor's Award"" for ""Best University"" in 2017 by the President of India?","What university was awarded the ""Visitor's Award"" for ""Best University"" in 2017 by the President of India?

**Answer:**

The university awarded the ""Visitor's Award"" for ""Best University"" in 2017 by the President of India was **Indian Institute of Technology (IIT) Bombay**. 


Let me know if you have any other questions! 
",Jawaharlal Nehru University
"What is the surname of the individual who won the Faraday Lectureship Prize, previously known simply as the Faraday Lectureship, in 1914?","What is the surname of the individual who won the Faraday Lectureship Prize, previously known simply as the Faraday Lectureship, in 1914?

The Faraday Lectureship Prize is awarded annually to a scientist who has made significant contributions to the field of electromagnetism. 

The individual who won the prize in 1914 was **Sir William Crookes**. 
",Arrhenius
Which scientist received the Roebling Medal the year after Max Hutchinson Hey received his?,"Which scientist received the Roebling Medal the year after Max Hutchinson Hey received his?

The Roebling Medal is awarded to individuals who have made significant contributions to the field of engineering. 

**Here's what we know:**

* **Max Hutchinson Hey** received the Roebling Medal in **1901**.
* We need to find the scientist who received the Roebling Medal the year after Hey.

Let me know if you'd like to explore other historical figures or scientific achievements! 
",Linus Pauling
In which two years did Rugged Lark win the AQHA World Show Superhorse title?,"In which two years did Rugged Lark win the AQHA World Show Superhorse title?

The answer is **1998 and 2000**. 
",1985 and 1987
How many of his early oil portraits did English sculptor Robert Adams exhibit in the Northampton Public Library in April 1946?,"How many of his early oil portraits did English sculptor Robert Adams exhibit in the Northampton Public Library in April 1946?

This question is based on a historical fact. 

To answer it, you'll need to:

1. **Find information about Robert Adams:**  Look up his life and career.
2. **Find information about the Northampton Public Library:**  See if they have any records of exhibitions in April 1946. 

Good luck! 
",14
In which city was the first International Association for Engineering Geology and the Environment congress held?,"In which city was the first International Association for Engineering Geology and the Environment congress held?

**A.** London
**B.** Paris
**C.** Rome
**D.** New York

**Answer:** **A.** London

**Explanation:**

The first International Association for Engineering Geology and the Environment (IAEG) congress was held in London in 1956. 
",Paris
What was the 2021 Word of the Year according to the American Dialect Society?,"What was the 2021 Word of the Year according to the American Dialect Society?

The 2021 Word of the Year according to the American Dialect Society was **""vaccine.""** 
",insurrection
"New Yorker Edward A. Tuttle's patent application was granted on October 11, 1881, for what kind of machine?","New Yorker Edward A. Tuttle's patent application was granted on October 11, 1881, for what kind of machine?

A. A sewing machine
B. A typewriting machine
C. A washing machine
D. A bicycle

**Answer:** B. A typewriting machine

**Explanation:** 

Edward A. Tuttle is known for his invention of the **typewriting machine**. His patent application was granted in 1881, and his machine was a significant step towards the widespread adoption of typewriting. 
",Exercising Machine
What is the specified maximum speed in kilometers per hour of the Grumman F4F-3 Wildcat (1937) plane?,"What is the specified maximum speed in kilometers per hour of the Grumman F4F-3 Wildcat (1937) plane?

The Grumman F4F-3 Wildcat was a famous fighter plane used in World War II. 

Here's what I know:

* **Grumman F4F-3 Wildcat:** A US Navy fighter plane.
* **World War II:** The plane was used in this conflict.

I need help finding the maximum speed of the Grumman F4F-3 Wildcat. 
",533 km/h
What is the name of the seminal film that Lygia Pape made in 1975?,"What is the name of the seminal film that Lygia Pape made in 1975?

The answer is **""The Dance""**. 

Lygia Pape was a Brazilian artist known for her experimental and conceptual work. ""The Dance"" is a significant film in her career, exploring themes of movement, space, and the body. 
",Eat Me
"In Moesha, who played Theresa in Season 5?","In Moesha, who played Theresa in Season 5?

This is a bit of a trick question! 

Theresa was played by **LisaRaye McCoy** in Season 5 of Moesha. 
",Marissa Jaret Winokur
"According to the 2021 World Bank data, which country has the largest renewable freshwater resources per capita?","According to the 2021 World Bank data, which country has the largest renewable freshwater resources per capita?

The answer is **India**. 

Here's why:

* **Renewable freshwater resources** are those that can be replenished naturally, like rainfall and groundwater.
* **Per capita** means resources available per person.

India has a significant amount of renewable freshwater resources, and this data is reflected in the World Bank's report. 

It's important to note that while India has a large amount of renewable freshwater resources, it also faces challenges like water scarcity and pollution",Iceland
"What year did Giulio Carlo Argan, the Italian art historian, publish a manual of art for high schools?","What year did Giulio Carlo Argan, the Italian art historian, publish a manual of art for high schools?

Giulio Carlo Argan published his manual of art for high schools in **1968**. 
",1938
"After Bessie Smith's car accident, which arm was amputated?","After Bessie Smith's car accident, which arm was amputated?

Bessie Smith's car accident resulted in the amputation of her **right arm**. 
",The right arm
"On which day and month was the victim of the 2013 Mumbai gang rape, also known as the Shakti Mills gang rape case, discharged from the hospital after the incident?","On which day and month was the victim of the 2013 Mumbai gang rape, also known as the Shakti Mills gang rape case, discharged from the hospital after the incident?

This question is based on a real-life event and requires a factual answer. 

**Here's the information you need:**

* The Shakti Mills gang rape case occurred in Mumbai, India, in 2013.
* The victim was a young woman who was brutally assaulted and raped by multiple men.
* The case received significant media attention and sparked outrage across the country.

**To answer the question:**

You will need to research the Shakti Mills gang rape",27-Aug
What are the names of the three notable archaeological sites where Igbo-Ukwu art was discovered?,"What are the names of the three notable archaeological sites where Igbo-Ukwu art was discovered?

The three notable archaeological sites where Igbo-Ukwu art was discovered are:

1. **Igbo-Ukwu** (the main site)
2. **Umueri**
3. **Nri** 

Let me know if you have any other questions about Igbo-Ukwu art or Igbo culture! 
","Igbo Isaiah, Igbo Richard, and Igbo Jonah"
Which year did Herbert Gintis receive his master's degree?,"Which year did Herbert Gintis receive his master's degree?

Herbert Gintis received his master's degree in **1961**. 
",1962
"In Episode 7, Season 2 of the American version of ""The Circle,"" who leaves the players a message on how to play the game Glammequins?","In Episode 7, Season 2 of the American version of ""The Circle,"" who leaves the players a message on how to play the game Glammequins?

**Answer:**

The player who leaves a message on how to play the game Glammequins is **Joey**. 
",Jonathan Van Ness
In what year was Oliviero Diliberto first elected as an MP for the Communist Refoundation Party?,"In what year was Oliviero Diliberto first elected as an MP for the Communist Refoundation Party?

This question is based on the Italian politician Oliviero Diliberto, better known as ""Babyface"". 

To answer, you need to know:
* Oliviero Diliberto's political career
* The Communist Refoundation Party (PRC)

Let me know if you'd like me to provide more information about these topics. 
",1994
Which two instruments was John Cage's experimental piece *Two^5* written for?,"Which two instruments was John Cage's experimental piece *Two^5* written for?

**A.** Piano and Violin
**B.** Piano and Percussion
**C.** Violin and Cello
**D.** Piano and Voice

**Correct Answer:** **B.** Piano and Percussion

**Explanation:**

John Cage's *Two^5* is a groundbreaking piece that explores the concept of chance and indeterminacy in music. It was written for two pianos and percussion instruments. 

Here's why the other options are incorrect:

* **A.** Piano and Violin:",Tenor trombone and piano
"As a teen, what job sparked Shonda Rhimes' interest in hospital environments?","As a teen, what job sparked Shonda Rhimes' interest in hospital environments?

**Answer:**  Shonda Rhimes' interest in hospital environments was sparked by her job as a **clerk at a hospital**. 
",hospital volunteer
In which year did Karl Polanyi become a founding member of the National Citizens' Radical Party?,"In which year did Karl Polanyi become a founding member of the National Citizens' Radical Party?

Karl Polanyi was a renowned sociologist, economist, and political philosopher. He was not a founding member of the National Citizens' Radical Party. 

It's important to note that:

* **Karl Polanyi** was a prominent figure in the 20th century, known for his work on the social and economic aspects of society, particularly his concept of the ""market society.""
* **The National Citizens' Radical Party** was a political party in the United Kingdom, active",1914
"How many balls did Dwayne Bravo play in the Indian Premier League 2019 final match between CSK and MI on May 12, 2019?","How many balls did Dwayne Bravo play in the Indian Premier League 2019 final match between CSK and MI on May 12, 2019?

Dwayne Bravo played **1** ball in the final match of IPL 2019. 
",15
"Marcia Bartusiak traces the term ""black hole"" to which physicist (first name, middle initial, and surname), who reportedly compared the phenomenon in the early 1960s to the Black Hole of Calcutta, a notorious prison where people entered but never left alive?","Marcia Bartusiak traces the term ""black hole"" to which physicist (first name, middle initial, and surname), who reportedly compared the phenomenon in the early 1960s to the Black Hole of Calcutta, a notorious prison where people entered but never left alive?

This is a tricky question! Here's why and how to approach it:

* **The Connection:** The question is designed to make you think about the history of the term ""black hole"" and its connection to a specific physicist. 
* **The Trick:** The connection is not straightforward. The physicist is not directly associated with the ""Black Hole of Calcutta"" in any way. 

**The Answer:**

The physicist who coined the term ""black hole"" is **John",Robert H. Dicke.
From which university did David Hibbett receive his Bachelor of Arts degree?,"From which university did David Hibbett receive his Bachelor of Arts degree?

David Hibbett is a renowned figure in the field of sports analytics, particularly known for his work on the NBA. He has a strong academic background, but the specific university he attended for his Bachelor of Arts degree is not publicly available. 
",University of Massachusetts Amherst
Which one of the 1990 Fly Girls from the series In Living Color stayed for five seasons?,"Which one of the 1990 Fly Girls from the series In Living Color stayed for five seasons?

The answer is **Kim Fields**. 

Here's why:

* **The Fly Girls** were a recurring sketch comedy group on In Living Color.
* **Kim Fields** was a member of the Fly Girls for the entire run of the show, from 1990 to 1994. 
* She was known for her comedic timing and her signature ""fly girl"" dance moves.


Let me know if you have any other In Living Color trivia",Deidre Lang
"What is the title of Series 1, Episode 17 of *Space: 1999*?","What is the title of Series 1, Episode 17 of *Space: 1999*?

The answer is **""The Last Man""**. 
","""The Last Sunset"""
Which specific ocean was the asteroid 224 Oceana named after?,"Which specific ocean was the asteroid 224 Oceana named after?

The asteroid 224 Oceana was named after the **Pacific Ocean**. 
",Pacific Ocean
In which year was Akhnoor Fort (in Jammu City of Jammu and Kashmir) declared a national monument?,"In which year was Akhnoor Fort (in Jammu City of Jammu and Kashmir) declared a national monument?

**Answer:** 1986

**Explanation:**

Akhnoor Fort, located in Jammu City, Jammu and Kashmir, was declared a national monument in **1986**. 
",1982
Which year was the non-profit organization Prayas Nepal established?,"Which year was the non-profit organization Prayas Nepal established?

**Answer:** 2004

**Explanation:**

Prayas Nepal is a non-profit organization that works to empower marginalized communities in Nepal. It was established in 2004. 
",2003
In what district was the English songwriter Robert Patrick Weston born?,"In what district was the English songwriter Robert Patrick Weston born?

**Answer:**  Weston was born in **Weston-super-Mare**, Somerset. 
",Islington
"In what month and year did the Merce Cunningham Dance Company launch its ""Legacy Tour""?","In what month and year did the Merce Cunningham Dance Company launch its ""Legacy Tour""?

The Merce Cunningham Dance Company launched its ""Legacy Tour"" in **September 2018**. 
",10-Feb
Who published the first scientific description of the Asiatic lion in 1826?,"Who published the first scientific description of the Asiatic lion in 1826?

**Answer:**

* **John Edward Gray** 

**Explanation:**

John Edward Gray, a British naturalist, published the first scientific description of the Asiatic lion in 1826. He was a prominent figure in the study of zoology and contributed significantly to the understanding of animal taxonomy. 
",Johann N. Meyer
In what year did Peter Norvig and Stuart Russell win the AAAI/EAAI Outstanding Educator Award?,"In what year did Peter Norvig and Stuart Russell win the AAAI/EAAI Outstanding Educator Award?

The answer is **2019**. 

Here's why:

* **Peter Norvig** is a renowned AI researcher and former Director of Research at Google.
* **Stuart Russell** is a prominent AI researcher and author of the influential textbook ""Artificial Intelligence: A Modern Approach.""
* Both are highly respected figures in the field of artificial intelligence.
* The AAAI/EAAI Outstanding Educator Award recognizes individuals who have made significant contributions to the field of artificial",2016
What is the topographic isolation of Pentagon Mountain in Montana in kilometers?,"What is the topographic isolation of Pentagon Mountain in Montana in kilometers?

Please note: Topographic isolation is the degree to which a geographic feature is separated from other features by physical barriers. 

I need the answer in kilometers. 
",17.48 km
"In 2015, in what exhibition was Henry Ossawa Tanner's work included?","In 2015, in what exhibition was Henry Ossawa Tanner's work included?

**Answer:**

The 1913 exhibition at the **National Academy of Design** in New York City. 

**Explanation:**

While Henry Ossawa Tanner was a prominent African American painter, his work was not included in the 2015 exhibition. 

It's important to note that:

* **Tanner's work was highly celebrated in his lifetime.** He was a member of the National Academy of Design and exhibited his work in prestigious venues.
","We Speak: Black Artists in Philadelphia, 1920s-1970s"
What coach was Mike Young an assistant to at Radford University?,"What coach was Mike Young an assistant to at Radford University?

**Answer:**

Mike Young was an assistant coach to **Jim Valvano** at Radford University. 
",Oliver Purnell
Where was Juvénal Habyarimana's body identified within?,"Where was Juvénal Habyarimana's body identified within?

The answer is **Rwanda**.

Here's why:

* **The Rwandan Genocide:** Juvénal Habyarimana, the president of Rwanda, was killed in a plane crash on April 6, 1994. This event is widely considered to be the catalyst for the Rwandan Genocide, which saw the systematic killing of hundreds of thousands of Tutsis and moderate Hutus.
* **Identification:** Habyarimana's body was identified in Rwanda",In a flowerbed
"What language is represented in Figure 4 of the paper ""Identifying Semantic Role Clusters and Alignment Types via Microrole Coexpression Tendencies""?","What language is represented in Figure 4 of the paper ""Identifying Semantic Role Clusters and Alignment Types via Microrole Coexpression Tendencies""?

Figure 4 shows a heatmap of the coexpression tendencies of microroles. The language represented in Figure 4 is:

a) English
b) Chinese
c) Japanese
d) Korean

**Answer:**

The answer is **(a) English**. 

**Explanation:**

The paper ""Identifying Semantic Role Clusters and Alignment Types via Microrole Coexpression Tendencies"" is a research paper in the field of natural language processing (NLP).  The paper focuses",Zenzontepec Chatino
Which scientist received the American Chemical Society Award in Pure Chemistry in 1933?,"Which scientist received the American Chemical Society Award in Pure Chemistry in 1933?

The answer is **Linus Pauling**. 

Here's why:

* **Linus Pauling** was a renowned chemist and Nobel laureate known for his work on the nature of chemical bonds, molecular structure, and the chemical aspects of biological systems. 
* He received the American Chemical Society Award in Pure Chemistry in 1933, recognizing his significant contributions to the field.


Let me know if you have any other questions! 
",Frank Harold Spedding
What is the title of the song (English version) for which Isadora Duncan composed the Varshavianka dance routine?,"What is the title of the song (English version) for which Isadora Duncan composed the Varshavianka dance routine?

The answer is: **""The Song of the Volga""**

Here's why:

* **Isadora Duncan** was a famous dancer and choreographer known for her free-flowing, natural movements.
* **Varshavianka** is a Russian folk dance.
* **""The Song of the Volga""** is a popular Russian folk song that Duncan used as inspiration for her dance routine. 

Let me know if you have any other questions! 
","""Whirlwinds of Danger"""
Which building in the Republic of Niger won the 1986 Aga Khan Award for Architecture?,"Which building in the Republic of Niger won the 1986 Aga Khan Award for Architecture?

The building that won the 1986 Aga Khan Award for Architecture in the Republic of Niger is the **National Museum of Niger**. 
",Yaama Mosque
What is the name of the entomologist who described the species Acanthops bidens in 1922?,"What is the name of the entomologist who described the species Acanthops bidens in 1922?

Unfortunately, I don't have access to real-time information, including specific scientific publications or databases. 

To find the entomologist who described Acanthops bidens in 1922, I recommend the following:

* **Search scientific databases:** Use keywords like ""Acanthops bidens"" and ""1922"" in databases like JSTOR, Google Scholar, or Biodiversity Heritage Library.
* **Consult entomological literature:** Look for books or articles on the",Morgan Hebard
From what school did Phyllida Barlow graduate in 1966?,"From what school did Phyllida Barlow graduate in 1966?

This question is tricky because there's no readily available information about Phyllida Barlow's education. 

Here's why it's difficult to answer:

* **Privacy:** Educational records are often considered private information. 
* **Limited Public Information:**  While artists' biographies are often detailed, specific details about their early education might not be widely available.
* **Changing Names:**  Barlow's work has been influenced by various artistic movements, and her artistic",the Slade School of Art 
"The Dante-Alighieri monument, located on Allée des Poètes along Rue D'Auteuil, was created by L'atelier Attitude and inspired by the work of what Italian-born sculptor?","The Dante-Alighieri monument, located on Allée des Poètes along Rue D'Auteuil, was created by L'atelier Attitude and inspired by the work of what Italian-born sculptor?

This question is a bit tricky, as it requires a combination of knowledge about art, history, and specific details. 

Here's why it's difficult and how to approach it:

* **Dante Alighieri:**  The famous Italian poet known for his epic poem ""The Divine Comedy.""
* **L'atelier Attitude:** A design studio, not a sculptor.
* **Monument:**  The question implies a physical structure, but the studio's work is often",Carlo Balboni
In which Ukrainian city was male impersonator Pepi Litman born?,"In which Ukrainian city was male impersonator Pepi Litman born?

This question is a bit tricky! 

Here's why:

* **Pepi Litman** is a famous Ukrainian male impersonator.
* **Ukrainian cities** are often associated with specific cultural identities. 

However, there's no widely known information about Pepi Litman's birthplace. 

**To find the answer, you might need to:**

* **Consult Ukrainian entertainment sources:** Look for interviews or articles about Pepi Litman that might mention his",Ternopil
What is the full title of Zanele Muholi's first publication?,"What is the full title of Zanele Muholi's first publication?

The full title of Zanele Muholi's first publication is **""Faces and Voices of lesbians in South Africa""**. 
",Zanele Muholi: Only Half The Picture
"Who was the father of the Russian stage actress and singer ""Baroness Olga Vadimovna von Root?""","Who was the father of the Russian stage actress and singer ""Baroness Olga Vadimovna von Root?""

The answer is **Baron von Root**. 

Here's why:

* **Baroness Olga Vadimovna von Root** was a famous Russian stage actress and singer.
* The name ""von Root"" is a German title, indicating a noble family background.
* **Baron von Root** was the father of the actress. 


Let me know if you have any other questions! 
",Baron Vadim Nikolayevich von Root
"On which day, month, and year did the signing ceremony between the Colombian government and the ELN occur, leading to a six-month-long ceasefire between the two parties?","On which day, month, and year did the signing ceremony between the Colombian government and the ELN occur, leading to a six-month-long ceasefire between the two parties?

**Answer:**

The signing ceremony between the Colombian government and the ELN occurred on **February 2, 2023**. 
",9-Jun-23
In what major painting exhibition did artist J.C. Leyendecker earn a spot in 1897?,"In what major painting exhibition did artist J.C. Leyendecker earn a spot in 1897?

The answer is the **""The Art of the American West""** exhibition. 

Here's why:

* **J.C. Leyendecker** was a prominent American illustrator known for his work in advertising and magazines. 
* **The Art of the American West** was a major exhibition held in 1897 at the Philadelphia Museum of Art. 
* Leyendecker's work, particularly his depictions of cowboys and Western life, was well-",The Salon Champs de Mars
Who won the Godman-Salvin Medal in 2010?,"Who won the Godman-Salvin Medal in 2010?

The Godman-Salvin Medal is awarded to the **best performing Australian cricketer** in the calendar year. 

In 2010, the award went to **Ricky Ponting**. 
",Ian Newton
How many years was the attraction Horizons at EPCOT sponsored by General Electric?,"How many years was the attraction Horizons at EPCOT sponsored by General Electric?

Horizons was a popular attraction at EPCOT from 1982 to 1995. 

**Answer:** 13 years 
",10
"How much money in US dollars did Howard Schultz donate to Barack Obama's campaign on October 24, 2008?","How much money in US dollars did Howard Schultz donate to Barack Obama's campaign on October 24, 2008?

This question is based on a real event, and the answer is:

**$1 million** 

Let me know if you'd like to know more about this or other historical events! 
","$2,300 "
What item was found in a damaged wooden coffin in July 2018 by Ramadan Badry Hussein?,"What item was found in a damaged wooden coffin in July 2018 by Ramadan Badry Hussein?

A. A handwritten note
B. A gold ring
C. A silver locket
D. A small wooden box

**Answer:** D. A small wooden box

**Explanation:**

In July 2018, a damaged wooden coffin was discovered in a cemetery in Egypt. Inside the coffin, a small wooden box was found. 
",Mask
"What were the month and year when scientists reported that bacteria from Earth, particularly Deinococcus radiodurans bacteria, which is highly resistant to environmental hazards, were found to survive for three years in outer space?","What were the month and year when scientists reported that bacteria from Earth, particularly Deinococcus radiodurans bacteria, which is highly resistant to environmental hazards, were found to survive for three years in outer space?

The answer is: **1999**

Here's why:

* **Deinococcus radiodurans** is known for its extreme radiation resistance.
* **Outer space** presents a harsh environment with extreme temperatures, radiation, and vacuum.
* **1999** marked a significant study where scientists successfully demonstrated the survival of these bacteria in outer space for three years. 

This research was groundbreaking and helped us understand the potential for life beyond Earth. ",20-Aug
"From what year to what year was Mary Ann Willson, an American folk artist, active?","From what year to what year was Mary Ann Willson, an American folk artist, active?

Please provide the information you have.
", 1810 to 1825
